,Activation,Optimizer,Accuracy
0,relu,adam,0.9743000268936157
1,relu,sgd,0.9320999979972839
2,relu,rmsprop,0.9763000011444092
3,relu,adagrad,0.878000020980835
4,relu,adadelta,0.3977999985218048
5,relu,adamax,0.9631999731063843
6,relu,nadam,0.9763000011444092
7,relu,ftrl,0.11349999904632568
8,sigmoid,adam,0.9611999988555908
9,sigmoid,sgd,0.7080000042915344
10,sigmoid,rmsprop,0.9585999846458435
11,sigmoid,adagrad,0.5274999737739563
12,sigmoid,adadelta,0.15189999341964722
13,sigmoid,adamax,0.9322999715805054
14,sigmoid,nadam,0.9639000296592712
15,sigmoid,ftrl,0.11349999904632568
16,tanh,adam,0.9664999842643738
17,tanh,sgd,0.9192000031471252
18,tanh,rmsprop,0.9656000137329102
19,tanh,adagrad,0.8925999999046326
20,tanh,adadelta,0.5795999765396118
21,tanh,adamax,0.9470000267028809
22,tanh,nadam,0.9652000069618225
23,tanh,ftrl,0.11349999904632568
24,elu,adam,0.972000002861023
25,elu,sgd,0.9225999712944031
26,elu,rmsprop,0.9695000052452087
27,elu,adagrad,0.8907999992370605
28,elu,adadelta,0.5648999810218811
29,elu,adamax,0.9541000127792358
30,elu,nadam,0.9692000150680542
31,elu,ftrl,0.11349999904632568
32,selu,adam,0.9629999995231628
33,selu,sgd,0.9225000143051147
34,selu,rmsprop,0.9628999829292297
35,selu,adagrad,0.8991000056266785
36,selu,adadelta,0.5633999705314636
37,selu,adamax,0.9424999952316284
38,selu,nadam,0.9623000025749207
39,selu,ftrl,0.11349999904632568
40,softmax,adam,0.8348000049591064
41,softmax,sgd,0.11349999904632568
42,softmax,rmsprop,0.3091999888420105
43,softmax,adagrad,0.11349999904632568
44,softmax,adadelta,0.10320000350475311
45,softmax,adamax,0.9089999794960022
46,softmax,nadam,0.8855999708175659
47,softmax,ftrl,0.11349999904632568
48,softplus,adam,0.9703999757766724
49,softplus,sgd,0.8913999795913696
50,softplus,rmsprop,0.970300018787384
51,softplus,adagrad,0.8205000162124634
52,softplus,adadelta,0.2890999913215637
53,softplus,adamax,0.9459999799728394
54,softplus,nadam,0.9692999720573425
55,softplus,ftrl,0.11349999904632568
56,softsign,adam,0.9631999731063843
57,softsign,sgd,0.9088000059127808
58,softsign,rmsprop,0.9632999897003174
59,softsign,adagrad,0.8640000224113464
60,softsign,adadelta,0.5555999875068665
61,softsign,adamax,0.945900022983551
62,softsign,nadam,0.963100016117096
63,softsign,ftrl,0.11349999904632568
